-40.0	1.0252064385237643e-5
-35.0	1.0220168419968691e-5
-30.0	1.0200940102608365e-5
-25.0	1.0201149172429954e-5
-20.0	1.0228274434778163e-5
-15.0	1.0288755512874586e-5
-10.0	1.0384343062001374e-5
-8.0	1.043020756090797e-5
-6.0	1.047925318365018e-5
-5.0	1.0504375954793516e-5
-4.0	1.0528981646579827e-5
-3.0	1.0551952998899763e-5
-2.0	1.0570406216964067e-5
-1.0	1.057080963120999e-5
-0.9	1.0567535522797162e-5
-0.8	1.0562762619500984e-5
-0.7	1.0555860647905905e-5
-0.6	1.0545798038727543e-5
-0.5	1.0530776541497697e-5
-0.4	1.0507408377001794e-5
-0.3	1.0468698730291158e-5
-0.2	1.0399000230530391e-5
-0.1	1.0267387011219321e-5
0.0	9.911168883991702e-6
0.1	1.07494846034325e-5
0.2	1.0808445099440722e-5
0.3	1.0787181352044257e-5
0.4	1.076700157840939e-5
0.5	1.0752507866581737e-5
0.6	1.0742365842447971e-5
0.7	1.0735241513095402e-5
0.8	1.0730221822327974e-5
0.9	1.0726706273094015e-5
1.0	1.0724294544254785e-5
2.0	1.0726088703615264e-5
3.0	1.0742360967807836e-5
4.0	1.076187076085723e-5
5.0	1.078232705787361e-5
6.0	1.0802901081361308e-5
8.0	1.0842847942072935e-5
10.0	1.0881024916918717e-5
15.0	1.0971446949684593e-5
20.0	1.1052260171822498e-5
25.0	1.112265215801856e-5
40.0	1.1270937997234654e-5
