-40.0	2.4153481896348977e-5
-35.0	2.3983684188071525e-5
-30.0	2.38153622661217e-5
-25.0	2.365881562728852e-5
-20.0	2.352750065972906e-5
-15.0	2.3436340041459123e-5
-10.0	2.339637052870503e-5
-8.0	2.3393757045707062e-5
-6.0	2.3399318504324068e-5
-5.0	2.3405080968938474e-5
-4.0	2.341305000017684e-5
-3.0	2.3424296601359587e-5
-2.0	2.3445354739069896e-5
-1.0	2.3502999547830894e-5
-0.9	2.3515856378167877e-5
-0.8	2.353202929330628e-5
-0.7	2.3553005211561088e-5
-0.6	2.35813045098724e-5
-0.5	2.362155399894346e-5
-0.4	2.3683212945360614e-5
-0.3	2.378880140860004e-5
-0.2	2.4005535916239498e-5
-0.1	2.4607420385028637e-5
0.0	2.412870665864605e-5
0.1	2.274907225223429e-5
0.2	2.2973376049615084e-5
0.3	2.309035132590849e-5
0.4	2.315718340347439e-5
0.5	2.320006206958453e-5
0.6	2.3229828657320094e-5
0.7	2.3251669032408363e-5
0.8	2.326835993054206e-5
0.9	2.3281518584574066e-5
1.0	2.3292149557431547e-5
2.0	2.3340546066828003e-5
3.0	2.335648039819426e-5
4.0	2.336264983139496e-5
5.0	2.3365735851693646e-5
6.0	2.3367443679290795e-5
8.0	2.3369403103220596e-5
10.0	2.3374389282587157e-5
15.0	2.3418958833417844e-5
20.0	2.3510325410625265e-5
25.0	2.3639800433326376e-5
40.0	2.412321763852016e-5
